year,pmid,author,coauthor,apid,cpid
2013-01-02T00:00:00,23281597,Alison C. Smith,Marvin Michael Swindle,3047,3129
2013-01-02T00:00:00,23281597,Marvin Michael Swindle,Dieter Georg Haemmerich,3129,2244
2013-01-02T00:00:00,23281597,Marvin Michael Swindle,Kristi L. Helke,3129,2452
2013-01-02T00:00:00,23281597,Marvin Michael Swindle,Alison C. Smith,3129,3047
2013-01-02T00:00:00,23283355,Michael Gregory Janech,Milos N Budisavljevic,2362,1910
2013-01-02T00:00:00,23283355,Michael Gregory Janech,Wayne R Fitzgibbon,2362,2158
2013-01-02T00:00:00,23283355,Michael Gregory Janech,David W. Ploth,2362,2822
2013-01-02T00:00:00,23283355,Michael Gregory Janech,Juan Carlos Q. Velez,2362,3212
2013-01-02T00:00:00,23283355,Michael Gregory Janech,Viswanathan  Ramakrishnan,2362,3564
2013-01-02T00:00:00,23283355,Michael Gregory Janech,Nithin  Karakala,2362,3717
2013-01-02T00:00:00,23283355,Michael Gregory Janech,John M. Arthur,2362,4
2013-01-02T00:00:00,23283355,Michael Gregory Janech,Benjamin Adam Neely,2362,4109
2013-01-02T00:00:00,23283355,Michael Gregory Janech,Ningfei  An,2362,4111
2013-01-02T00:00:00,23283355,John M. Arthur,Milos N Budisavljevic,4,1910
2013-01-02T00:00:00,23283355,John M. Arthur,Michael Gregory Janech,4,2362
2013-01-02T00:00:00,23283355,John M. Arthur,James C. Oates,4,2766
2013-01-02T00:00:00,23283355,John M. Arthur,Juan Carlos Q. Velez,4,3212
2013-01-02T00:00:00,23283355,John M. Arthur,Nithin  Karakala,4,3717
2013-01-02T00:00:00,23283355,John M. Arthur,Benjamin Adam Neely,4,4109
2013-01-02T00:00:00,23283355,John M. Arthur,Ningfei  An,4,4111
2013-01-02T00:00:00,23284071,Bruce I. Ovbiagele,Marc Ivor Chimowitz,3620,2663
2013-01-02T00:00:00,23284071,Bruce I. Ovbiagele,Robert Joseph Adams,3620,2894
2013-01-02T00:00:00,23284071,Bruce I. Ovbiagele,Steven A. Kautz,3620,3099
2013-01-02T00:00:00,23284071,Bruce I. Ovbiagele,Wu Wei  Feng,3620,3426
2013-01-02T00:00:00,23284071,Bruce I. Ovbiagele,Andrea D. Boan,3620,4002
2013-01-02T00:00:00,23290460,John M. Toole,Michael Lawrence Craig,3169,2017
2013-01-02T00:00:00,23290460,John M. Toole,John M. Kratz,3169,2475
2013-01-02T00:00:00,23290934,Heather A. Boger,Narayan R. Bhat,3362,1853
2013-01-02T00:00:00,23290934,Heather A. Boger,Ann-charlotte E. Granholm-bentley,3362,2220
2013-01-02T00:00:00,23290934,Heather A. Boger,Kristi L. Helke,3362,2452
2013-01-02T00:00:00,23290934,Heather A. Boger,Jacqueline F. Mcginty,3362,2638
2013-01-02T00:00:00,23290934,Heather A. Boger,Baerbel  Rohrer,3362,2908
2013-01-03T00:00:00,23288666,Johnell O Brooks,Ian D Walker,4595,4574
2013-01-03T00:00:00,23288666,Johnell O Brooks,Jennifer H Ogle,4595,4690
2013-01-03T00:00:00,23288666,Johnell O Brooks,Paul  Venhovens,4595,4699
2013-01-03T00:00:00,23291424,Alejandro Marin Spiotta,Aquilla Scott Turk,3609,1789
2013-01-03T00:00:00,23291424,Alejandro Marin Spiotta,Raymond Dwight Turner,3609,2862
2013-01-03T00:00:00,23291424,Alejandro Marin Spiotta,Holly Judith Tillman,3609,3441
2013-01-03T00:00:00,23301082,James C. Oates,Gary S. Gilkeson,2766,2202
2013-01-03T00:00:00,23301082,James C. Oates,Florence N. Hutchison,2766,2346
2013-01-03T00:00:00,23301082,James C. Oates,Diane L. Kamen,2766,2416
2013-01-03T00:00:00,23301082,James C. Oates,Sally E. Self,2766,2998
2013-01-03T00:00:00,23301082,James C. Oates,Elena V. Tourkina,2766,3172
2013-01-03T00:00:00,23301082,James C. Oates,Paula Sofia Amaral Sal Ramos,2766,3527
2013-01-03T00:00:00,23301082,James C. Oates,John M. Arthur,2766,4
2013-01-03T00:00:00,23301082,James C. Oates,Mara Lindsay Lennard Richard,2766,4084
2013-01-03T00:00:00,23301082,James C. Oates,Sarumathi  Mohan,2766,4371
2013-01-04T00:00:00,23287455,Francis G. Spinale,James H. Abernathy,3075,1728
2013-01-04T00:00:00,23287455,Francis G. Spinale,Calvert C. Alpert,3075,1758
2013-01-04T00:00:00,23287455,Francis G. Spinale,Catalin F. Baicu,3075,1807
2013-01-04T00:00:00,23287455,Francis G. Spinale,Scott M. Bradley,3075,1887
2013-01-04T00:00:00,23287455,Francis G. Spinale,Amy Dodd Bradshaw,3075,1888
2013-01-04T00:00:00,23287455,Francis G. Spinale,Chadrick E. Denlinger,3075,1963
2013-01-04T00:00:00,23287455,Francis G. Spinale,Fred A. Crawford,3075,2018
2013-01-04T00:00:00,23287455,Francis G. Spinale,Arthur Jackson Crumbley,3075,2023
2013-01-04T00:00:00,23287455,Francis G. Spinale,Geoffrey A. Forbus,3075,2164
2013-01-04T00:00:00,23287455,Francis G. Spinale,Eric M. Graham,3075,2219
2013-01-04T00:00:00,23287455,Francis G. Spinale,Latha  Hebbar,3075,2290
2013-01-04T00:00:00,23287455,Francis G. Spinale,John S. Ikonomidis,3075,2349
2013-01-04T00:00:00,23287455,Francis G. Spinale,Jerry Ewing Squires,3075,2383
2013-01-04T00:00:00,23287455,Francis G. Spinale,Jeffrey A. Jones,3075,2400
2013-01-04T00:00:00,23287455,Francis G. Spinale,John M. Kratz,3075,2475
2013-01-04T00:00:00,23287455,Francis G. Spinale,Paul J. Mcdermott,3075,2629
2013-01-04T00:00:00,23287455,Francis G. Spinale,Rupak D. Mukherjee,3075,2720
2013-01-04T00:00:00,23287455,Francis G. Spinale,Scott T. Reeves,3075,2872
2013-01-04T00:00:00,23287455,Francis G. Spinale,Marvin Michael Swindle,3075,3129
2013-01-04T00:00:00,23287455,Francis G. Spinale,John M. Toole,3075,3169
2013-01-04T00:00:00,23287455,Francis G. Spinale,Robert D. Warters,3075,3246
2013-01-04T00:00:00,23287455,Francis G. Spinale,Michael R. Zile,3075,3327
2013-01-04T00:00:00,23287455,Francis G. Spinale,Robert E. Stroud,3075,3558
