pmid,year,mesh,meshTreeNumber
17197173,2007-01-02T00:00:00,Animals,B01.050
17203016,2007-01-03T00:00:00,Adult,M01.060.116
17203016,2007-01-03T00:00:00,Bipolar Disorder,F03.600.150.150
17203016,2007-01-03T00:00:00,Brain,A08.186.211
17203016,2007-01-03T00:00:00,Brain Mapping,E01.370.350.086
17203016,2007-01-03T00:00:00,Brain Mapping,E01.370.376.149
17203016,2007-01-03T00:00:00,Brain Mapping,E05.132
17203016,2007-01-03T00:00:00,Double-Blind Method,E05.318.780.300
17203016,2007-01-03T00:00:00,Double-Blind Method,E05.581.500.300
17203016,2007-01-03T00:00:00,Double-Blind Method,N05.715.360.780.320
17203016,2007-01-03T00:00:00,Double-Blind Method,N06.850.520.445.300
17203016,2007-01-03T00:00:00,Electric Stimulation Therapy,E02.342
17203016,2007-01-03T00:00:00,Electric Stimulation Therapy,E02.779.468
17203016,2007-01-03T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
17203016,2007-01-03T00:00:00,"Image Processing, Computer-Assisted",L01.224.308
17203016,2007-01-03T00:00:00,Magnetic Resonance Imaging,E01.370.350.500
17203016,2007-01-03T00:00:00,Magnetic Resonance Imaging,E01.370.350.825.500
17203016,2007-01-03T00:00:00,Middle Aged,M01.060.116.630
17203016,2007-01-03T00:00:00,Oxygen,D01.268.185.550
17203016,2007-01-03T00:00:00,Oxygen,D01.362.670
17204516,2007-01-04T00:00:00,Adult,M01.060.116
17204516,2007-01-04T00:00:00,Aged,M01.060.116.100
17204516,2007-01-04T00:00:00,Environmental Exposure,N06.850.460.350
17204516,2007-01-04T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
17204516,2007-01-04T00:00:00,Incidence,E05.318.308.985.525.375
17204516,2007-01-04T00:00:00,Incidence,L01.280.975.525.375
17204516,2007-01-04T00:00:00,Incidence,N01.224.935.597.500
17204516,2007-01-04T00:00:00,Incidence,N06.850.505.400.975.525.375
17204516,2007-01-04T00:00:00,Incidence,N06.850.520.308.985.525.375
17204516,2007-01-04T00:00:00,Middle Aged,M01.060.116.630
17204516,2007-01-04T00:00:00,Population Surveillance,E05.318.308.250.700
17204516,2007-01-04T00:00:00,Population Surveillance,N05.715.360.300.375.625
17204516,2007-01-04T00:00:00,Population Surveillance,N06.850.520.308.250.700
17204516,2007-01-04T00:00:00,Population Surveillance,N06.850.780.675
17204516,2007-01-04T00:00:00,Questionnaires,E05.318.308.750
17204516,2007-01-04T00:00:00,Questionnaires,L01.280.800
17204516,2007-01-04T00:00:00,Questionnaires,N05.715.360.300.695
17204516,2007-01-04T00:00:00,Questionnaires,N06.850.520.308.750
17204516,2007-01-04T00:00:00,Regression Analysis,E05.318.740.750
17204516,2007-01-04T00:00:00,Regression Analysis,N05.715.360.750.695
17204516,2007-01-04T00:00:00,Regression Analysis,N06.850.520.830.750
17204516,2007-01-04T00:00:00,Smoking,F01.145.466.753
17204516,2007-01-04T00:00:00,Tobacco Smoke Pollution,D20.633.937.680
17204516,2007-01-04T00:00:00,Tobacco Smoke Pollution,N06.850.460.100.555
17204516,2007-01-04T00:00:00,Urinary Bladder Neoplasms,C04.588.945.947.960
17204516,2007-01-04T00:00:00,Urinary Bladder Neoplasms,C12.758.820.968
17204516,2007-01-04T00:00:00,Urinary Bladder Neoplasms,C12.777.829.813
17204516,2007-01-04T00:00:00,Urinary Bladder Neoplasms,C13.351.937.820.945
17204516,2007-01-04T00:00:00,Urinary Bladder Neoplasms,C13.351.968.829.707
17204545,2007-01-04T00:00:00,Adenocarcinoma,C04.557.470.200.025
17204545,2007-01-04T00:00:00,Epithelial Cells,A11.436
17204545,2007-01-04T00:00:00,Gastric Mucosa,A03.556.875.875.440
17204545,2007-01-04T00:00:00,Gastric Mucosa,A10.615.550.291
17204545,2007-01-04T00:00:00,H(+)-K(+)-Exchanging ATPase,D08.811.277.040.025.325.625
17204545,2007-01-04T00:00:00,H(+)-K(+)-Exchanging ATPase,D12.776.157.530.450.250.875.500.625
17204545,2007-01-04T00:00:00,H(+)-K(+)-Exchanging ATPase,D12.776.543.585.450.250.875.500.625
17204545,2007-01-04T00:00:00,Helicobacter Infections,C01.252.400.466
17204545,2007-01-04T00:00:00,Helicobacter pylori,B03.440.500.550
17204545,2007-01-04T00:00:00,Helicobacter pylori,B03.660.150.280.550
17204545,2007-01-04T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
17204545,2007-01-04T00:00:00,Interleukin-1beta,D12.644.276.374.465.501.600
17204545,2007-01-04T00:00:00,Interleukin-1beta,D12.644.276.374.500.400.600
17204545,2007-01-04T00:00:00,Interleukin-1beta,D12.776.467.374.465.501.600
17204545,2007-01-04T00:00:00,Interleukin-1beta,D12.776.467.374.500.400.600
17204545,2007-01-04T00:00:00,Interleukin-1beta,D23.529.374.465.501.600
17204545,2007-01-04T00:00:00,Interleukin-1beta,D23.529.374.500.400.600
17204545,2007-01-04T00:00:00,MAP Kinase Signaling System,G02.111.087.800.560
17204545,2007-01-04T00:00:00,MAP Kinase Signaling System,G02.149.115.800.560
17204545,2007-01-04T00:00:00,MAP Kinase Signaling System,G03.495.553.560
17204545,2007-01-04T00:00:00,MAP Kinase Signaling System,G04.299.880.560
17204545,2007-01-04T00:00:00,Protein Kinase Inhibitors,D27.505.519.389.755
17204545,2007-01-04T00:00:00,"RNA, Messenger",D13.444.735.544
